unidad_academica|nro_inscripcion|titulo|carrera|legajo|plan|version|fecha_egreso|colacion|juramento|nro_expediente|prom_general|prom_sin_aplazos|nro_regis_dipl_fac|nro_regis_dipl_uni|resol_rectorado|duracion_carrera|observaciones|estado|nro_disp_decano|fecha_disp_decano|fecha_ini_tramite|fecha_ingr_conacad|fecha_apro_conacad|fecha_firma_autor|fecha_eleva_consup|fecha_apro_consup|tipo_copia
FCEQN|6790|00007|147|515860|1992|8|04/25/2019|28|2|01-3503/2019|5.73809523809524|6.96774193548387||||254||R|||04/29/2019||||||1
FCEQN|FCEQN10891|00024|901|DC00045|2012|2|03/07/2019|28|4|01-3504/2019|9.25|9.25||||60||R|||04/29/2019||||||1
FCEQN|FCEQN-9465|00007|147|LG03650|1992|8|04/25/2019|28|2|01-3505/2019|6.94736842105263|7.64516129032258||||84||R|||05/06/2019||||||1
FCEQN|FCEQN-1723|00003|101|IQ01006|2003|16|04/05/2019|28|2|01-3506/2019|6.26086956521739|6.825||||207||R|||05/07/2019||||||1
FCEQN|FCEQN-8054|00003|101|IQ01583|2003|16|03/22/2019|28|3|01-3507/2019|6.69565217391304|7.25641025641026||||109||R|||05/10/2019||||||1
FCEQN|FCEQN-6488|00007|147|LG03368|1992|8|05/16/2019|28|3|01-3508/2019|6.66666666666667|7.38709677419355||||132||R|||05/16/2019||||||1
FCEQN|FCEQN10955|00011|114|TA00174|2013|2|05/28/2019|28|4|01-3509/2019|8.07142857142857|8.07142857142857||||60||R|||06/03/2019||||||1
FCEQN|FCEQN-6448|00003|101|IQ01442|2003|16|05/24/2019|28|3|01-3510/2019|6.76086956521739|7.375||||133||R|||06/03/2019||||||1
FCEQN|FCEQN-2385|00026|117|ET00005|2014|1|04/12/2019|28|3|01-3511/2019|9.10526315789474|9.10526315789474||||52||R|||06/13/2019||||||1
FCEQN|FCEQN-1647|00023|111|GA00024|2011|1|06/11/2019|28|4|01-3512/2019|8.375|8.375||||97||R|||06/25/2019||||||1
FCEQN|FCEQN-8849|00005|104|FA03968|2007|10|06/21/2019|28|6|01-3513/2019|7.12765957446809|7.94736842105263||||100||R|||06/25/2019||||||1
FCEQN|1262|025|116|EB00034|2014|1|06/21/2019|28|4|01-3514/2019|8.6|8.6||||60||R|||06/26/2019||||||1
FCEQN|FCEQN10474|00005|104|FA04180|2007|10|06/21/2019|28|4|01-3515/2019|7.95121951219512|8.23684210526316||||62||R|||06/26/2019||||||1
FCEQN|FCEQN10877|00007|147|LG03786|1992|8|06/27/2019|28|3|01-3516/2019|8.87096774193548|8.87096774193548||||62||R|||06/28/2019||||||1
FCEQN|FCEQN-4933|00007|147|LG03133|1992|8|06/27/2019|28|3|01-3517/2019|6.79487179487179|7.83870967741935||||158||R|||07/03/2019||||||1
FCEQN|1968|00026|117|ET00002|2014|1|04/12/2019|28|4|01-3518/2019|8.89473684210526|8.89473684210526||||52||R|||07/04/2019||||||1
FCEQN|FCEQN10954|025|116|EB00033|2014|1|06/21/2019|28|4|01-3519/2019|8.4|8.4||||61||R|||07/04/2019||||||1
FCEQN|1090|00026|117|ET00015|2014|1|05/17/2019|28|4|01-3520/2019|8.57894736842105|8.57894736842105||||53||R|||07/04/2019||||||1
FCEQN|FCEQN-6181|00007|147|LG03339|1992|8|07/04/2019|28|3|01-3521/2019|6.60526315789474|7.54838709677419||||138||R|||07/04/2019||||||1
FCEQN|FCEQN-5430|00007|147|LG03249|1992|8|07/04/2019|28|3|01-3522/2019|5.92857142857143|6.96774193548387||||150||R|||07/05/2019||||||1
FCEQN|FCEQN-1782|00005|104|FA03143|2007|10|06/21/2019|28|6|01-3523/2019|7.05|7.28947368421053||||208||R|||07/05/2019||||||1
FCEQN|FCEQN-5406|00015|105|TC00090|2004|7|06/28/2019|28|4|01-3524/2019|7.05555555555556|7.5625||||86||R|||07/05/2019||||||1
FCEQN|1080|00026|117|ET00019|2014|1|12/12/2018|28|4|01-3525/2019|9.10526315789474|9.10526315789474||||48||R|||07/05/2019||||||1
FCEQN|FCEQN-7666|00004|102|BI02253|2007|12|12/07/2018|28|2|01-3526/2019|5.56451612903226|7||||108||R|||07/22/2019||||||1
FCEQN|FCEQN-9032|00001|172|PM03760|1997|8|07/23/2019|28|2|01-3527/2019|6.53191489361702|7.70588235294118||||87||R|||07/24/2019||||||1
FCEQN|FCEQN-6610|00001|172|PM03732|1997|8|07/26/2019|28|2|01-3528/2019|5.92727272727273|7.35294117647059||||88||R|||07/29/2019||||||1
FCEQN|93|00026|117|ET00006|2014|1|07/05/2019|28|4|01-3529/2019|8.63157894736842|8.63157894736842||||54||R|||07/29/2019||||||1
FCEQN|FCEQN-2414|00005|104|FA04028|2007|10|06/21/2019|28|5|01-3530/2019|6.17391304347826|6.71794871794872||||87||R|||08/07/2019||||||1
FCEQN|FCEQN-5042|00004|102|BI02035|2007|12|07/04/2019|28|2|01-3531/2019|6.83333333333333|7.43243243243243||||158||R|||08/08/2019||||||1
FCEQN|FCEQN-8441|00001|172|PM03660|1997|8|08/09/2019|28|3|01-3532/2019|6.1063829787234|7.23529411764706||||104||R|||08/12/2019||||||1
FCEQN|FCEQN-9761|00007|147|LG03715|1992|8|08/15/2019|28|1|01-3533/2019|8.64516129032258|8.64516129032258||||76||R|||08/15/2019||||||1
FCEQN|FCEQN-5911|00003|101|IQ01427|2003|16|08/09/2019|28|2|01-3534/2019|6.18518518518519|7.3||||140||R|||08/16/2019||||||1
FCEQN|FCEQN-8273|00001|172|PM03631|1997|8|08/20/2019|28|2|01-3535/2019|6.68292682926829|7.35294117647059||||104||R|||08/23/2019||||||1
FCEQN|FCEQN10428|00008|143|PB01507|2000|14|08/23/2019|28|2|01-3536/2019|7.21875|8.03846153846154||||64||R|||08/26/2019||||||1
FCEQN|FCEQN-4851|00008|143|PB01364|2000|14|08/23/2019|28|2|01-3537/2019|5.08|6.92307692307692||||100||R|||08/27/2019||||||1
FCEQN|547|00024|901|DC00007|2012|2|08/16/2019|28|4|01-3538/2019|9.5|9.5||||85||R|||08/29/2019||||||1
FCEQN|FCEQN-5995|00024|901|DC00046|2012|2|06/14/2019|28|4|01-3539/2019|9.6|9.6||||60||R|||08/29/2019||||||1
FCEQN|FCEQN12506|00016|106|IA00472|2008|7|07/03/2019|28|1|01-3540/2019|9.125|9.125||||27||R|||08/30/2019||||||1
FCEQN|FCEQN-7552|00008|143|PB01319|2000|14|08/23/2019|28|3|01-3541/2019|5.23529411764706|7.34615384615385||||116||R|||09/03/2019||||||1
FCEQN|FCEQN13011|00029|119|MF00001|2016|1|09/02/2019|28|4|01-3542/2019|8.94444444444444|8.94444444444444||||26||R|||09/03/2019||||||1
FCEQN|FCEQN-7539|00001|172|PM03529|1997|8|08/26/2019|28|2|01-3543/2019|5.76666666666667|7.64705882352941||||116||R|||09/03/2019||||||1
FCEQN|FCEQN-7642|00003|101|IQ01571|2003|16|08/30/2019|28|3|01-3544/2019|7.28888888888889|7.75||||116||R|||09/10/2019||||||1
FCEQN|FCEQN-6587|00003|101|IQ01491|2003|16|08/30/2019|28|2|01-3545/2019|5.75409836065574|7.28947368421053||||129||R|||09/10/2019||||||1
FCEQN|FCEQN-8417|00003|101|IQ01615|2003|16|09/06/2019|28|2|01-3546/2019|5.59701492537313|7.30769230769231||||105||R|||09/10/2019||||||1
FCEQN|FCEQN-6471|00016|106|IA00120|2008|7|08/30/2019|28|1|01-3547/2019|4.90123456790123|6.70731707317073||||136||R|||09/13/2019||||||1
FCEQN|FCEQN-9545|00004|102|BI02394|2007|12|09/13/2019|28|8|01-3548/2019|7.26086956521739|7.92105263157895||||89||R|||09/16/2019||||||1
FCEQN|FCEQN-9052|00005|104|FA04078|2007|10|09/13/2019|28|5|01-3549/2019|6.72|7.78947368421053||||89||R|||09/16/2019||||||1
FCEQN|FCEQN-7557|00005|104|FA03914|2007|10|09/13/2019|28|2|01-3550/2019|5.2027027027027|7.26315789473684||||117||R|||09/17/2019||||||1
FCEQN|FCEQN10061|00016|106|IA00350|2008|7|08/30/2019|28|2|01-3551/2019|7.78260869565217|8.24390243902439||||66||R|||09/17/2019||||||1
FCEQN|FCEQN-8115|00011|114|TA00153|2013|2|08/09/2019|28|2|01-3552/2019|8.78571428571429|8.78571428571429||||99||R|||09/17/2019||||||1
FCEQN|FCEQN-9686|00005|104|FA04092|2007|10|09/13/2019|28|4|01-3553/2019|7.5|7.92307692307692||||78||R|||09/18/2019||||||1
FCEQN|FCEQN-6449|00007|147|LG03469|1992|8|09/19/2019|28|2|01-3554/2019|6.35|7.32258064516129||||125||R|||09/19/2019||||||1
FCEQN|FCEQN-9810|00007|147|LG03699|1992|8|09/19/2019|28|2|01-3555/2019|7.90625|8.03225806451613||||78||R|||09/19/2019||||||1
FCEQN|FCEQN10852|00007|147|LG03804|1992|8|09/19/2019|28|2|01-3556/2019|8.67741935483871|8.67741935483871||||65||R|||09/19/2019||||||1
FCEQN|1638|00005|104|FA02994|2007|10|09/13/2019|28|1|01-3557/2019|5.73913043478261|6.36842105263158||||221||R|||09/30/2019||||||1
FCEQN|FCEQN-9403|00003|101|IQ01683|2003|16|09/13/2019|28|2|01-3558/2019|7.4468085106383|8.075||||89||R|||09/30/2019||||||1
FCEQN|FCEQN-8494|00003|101|IQ01607|2003|16|09/19/2019|28|2|01-3559/2019|6.2037037037037|7.38461538461539||||105||R|||10/02/2019||||||1
FCEQN|FCEQN-7438|00002|170|PF00527|1997|11|09/30/2019|28|3|01-3560/2019|6.13636363636364|7.6875||||114||R|||10/02/2019||||||1
FCEQN|FCEQN10499|00005|104|FA04205|2007|10|09/27/2019|28|3|01-3561/2019|8.2051282051282|8.31578947368421||||65||R|||10/03/2019||||||1
FCEQN|4296|00008|143|63230|2000|14|10/02/2019|28|2|01-3562/2019|4.05454545454545|6.23076923076923||||278||R|||10/04/2019||||||1
FCEQN|FCEQN12511|00016|106|IA00473|2008|7|07/03/2019|28|2|01-3563/2019|7.45|7.45||||27||R|||10/07/2019||||||1
FCEQN|4308|00008|143|63490|1992|6|10/02/2019|28|1|01-3564/2019|4.80952380952381|6.48||||271||R|||10/08/2019||||||1
FCEQN|FCEQN-7980|00005|104|FA03923|2007|10|09/27/2019|28|2|01-3565/2019|6.68085106382979|7.38461538461539||||115||R|||10/08/2019||||||1
FCEQN|FCEQN-6845|00003|101|IQ01529|2003|16|09/27/2019|28|1|01-3566/2019|5.71666666666667|7.07692307692308||||129||R|||10/10/2019||||||1
FCEQN|FCEQN-6939|00016|106|IA00171|2008|7|09/27/2019|28|1|01-3567/2019|5.47826086956522|7.125||||125||R|||10/11/2019||||||1
FCEQN|4613|00008|143|66130|2000|14|10/02/2019|28|2|01-3568/2019|5.52777777777778|6.76923076923077||||247||R|||10/15/2019||||||1
FCEQN|FCEQN-6572|00016|106|IA00191|2008|7|10/18/2019|28|3|01-3569/2019|6.09677419354839|7.55||||115||R|||10/21/2019||||||1
FCEQN|FCEQN-4858|00007|147|LG03100|1992|8|10/24/2019|28|2|01-3570/2019|5.67441860465116|6.93548387096774||||162||R|||10/24/2019||||||1
FCEQN|FCEQN11235|00026|117|ET00020|2014|1|09/11/2018|28|4|01-3571/2019|8.94736842105263|8.94736842105263||||43||R|||10/24/2019||||||1
